policy,policy_label,profile,beta,trials,physical_failure_rate,contact_loss_rate,final_confirmed_carry_rate,task_success_rate,force_scheduled_rate
official,official carrybox.pt,smooth_hold,0.1,36,0.3611111111111111,0.5833333333333334,0.1111111111111111,0.3888888888888889,0.6388888888888888
official,official carrybox.pt,smooth_hold,0.3,36,0.5277777777777778,0.4722222222222222,0.08333333333333333,0.2777777777777778,0.4722222222222222
official,official carrybox.pt,smooth_hold,0.5,36,0.6111111111111112,0.3333333333333333,0.05555555555555555,0.3055555555555556,0.3888888888888889
official,official carrybox.pt,smooth_hold,0.7,36,0.5833333333333334,0.3888888888888889,0.05555555555555555,0.3333333333333333,0.4444444444444444
official,official carrybox.pt,smooth_hold,0.9,36,0.5,0.4166666666666667,0.1111111111111111,0.3333333333333333,0.5
official,official carrybox.pt,smooth_hold,1.1,36,0.4166666666666667,0.5,0.25,0.3333333333333333,0.5833333333333334
pi,PI policy,smooth_hold,0.1,36,0.3055555555555556,0.4722222222222222,0.3333333333333333,0.08333333333333333,0.6944444444444444
pi,PI policy,smooth_hold,0.3,36,0.3333333333333333,0.3888888888888889,0.3611111111111111,0.027777777777777776,0.6666666666666666
pi,PI policy,smooth_hold,0.5,36,0.2777777777777778,0.5555555555555556,0.3888888888888889,0.1388888888888889,0.7222222222222222
pi,PI policy,smooth_hold,0.7,36,0.4166666666666667,0.3611111111111111,0.3333333333333333,0.027777777777777776,0.5833333333333334
pi,PI policy,smooth_hold,0.9,36,0.3611111111111111,0.4166666666666667,0.4166666666666667,0.08333333333333333,0.6388888888888888
pi,PI policy,smooth_hold,1.1,36,0.3055555555555556,0.4166666666666667,0.4722222222222222,0.05555555555555555,0.7222222222222222
retrained,retrained.pt,half_sine,0.1,12,0.08333333333333333,0.75,0.4166666666666667,0.0,0.9166666666666666
retrained,retrained.pt,half_sine,0.3,12,0.16666666666666666,0.75,0.5,0.0,0.8333333333333334
retrained,retrained.pt,half_sine,0.5,12,0.16666666666666666,0.6666666666666666,0.4166666666666667,0.0,0.8333333333333334
retrained,retrained.pt,half_sine,0.7,12,0.0,0.9166666666666666,0.4166666666666667,0.0,1.0
retrained,retrained.pt,half_sine,0.9,12,0.16666666666666666,0.4166666666666667,0.5833333333333334,0.0,0.8333333333333334
retrained,retrained.pt,half_sine,1.1,12,0.08333333333333333,0.6666666666666666,0.5,0.0,0.9166666666666666
