policy,policy_label,profile,direction,trials,physical_failure_rate,contact_loss_rate,final_confirmed_carry_rate,task_success_rate
official,official carrybox.pt,smooth_hold,+box_x,54,0.5,0.4444444444444444,0.12962962962962962,0.3333333333333333
official,official carrybox.pt,smooth_hold,+box_y,54,0.48148148148148145,0.5,0.09259259259259259,0.3148148148148148
official,official carrybox.pt,smooth_hold,-box_x,54,0.6111111111111112,0.3148148148148148,0.12962962962962962,0.2222222222222222
official,official carrybox.pt,smooth_hold,-box_y,54,0.4074074074074074,0.5370370370370371,0.09259259259259259,0.4444444444444444
pi,PI policy,smooth_hold,+box_x,54,0.3333333333333333,0.5185185185185185,0.25925925925925924,0.09259259259259259
pi,PI policy,smooth_hold,+box_y,54,0.35185185185185186,0.4444444444444444,0.4444444444444444,0.07407407407407407
pi,PI policy,smooth_hold,-box_x,54,0.2962962962962963,0.3888888888888889,0.48148148148148145,0.05555555555555555
pi,PI policy,smooth_hold,-box_y,54,0.35185185185185186,0.3888888888888889,0.35185185185185186,0.05555555555555555
retrained,retrained.pt,half_sine,+box_x,18,0.05555555555555555,0.8333333333333334,0.4444444444444444,0.0
retrained,retrained.pt,half_sine,+box_y,18,0.2777777777777778,0.5,0.5,0.0
retrained,retrained.pt,half_sine,-box_x,18,0.05555555555555555,0.7777777777777778,0.3888888888888889,0.0
retrained,retrained.pt,half_sine,-box_y,18,0.05555555555555555,0.6666666666666666,0.5555555555555556,0.0
