policy,trial_id,checkpoint,seed,profile,direction,beta,hold_duration,pulse_duration,ramp_up_s,ramp_down_s,box_mass,peak_force_N,impulse_Ns,physical_failure,termination_reason,contact_loss,max_hand_box_relative_speed,box_displacement_along_force,robot_displacement_along_force,final_confirmed_carry,task_success,object2goal_distance_final,initial_state_signature_sha1,initial_state_signature_json,policy_label,scheduled_force,condition_id,trace_rows,force_trace_present,trace_start_policy_step,force_on_policy_step,force_onset_steps_from_trace_start,force_rows,response_rows,final_trace_impulse_Ns,peak_external_force_N,both_contact_response_rate,any_contact_loss_response,peak_response_rel_speed_mps,mean_response_rel_speed_mps,peak_box_lin_speed_mps,peak_box_ang_speed_radps,mean_resistive_hand_force_N,peak_resistive_hand_force_N,mean_force_closure_residual,peak_force_closure_residual,mean_combined_hand_proxy_N,mean_hand_load_asymmetry
official,T0001,legged_gym/resources/ckpt/carrybox.pt,1,smooth_hold,+box_x,0.1,0.5,0.1,0.15,0.15,1.125,1.1036250591278076,0.7173563032277261,0,,0,0.3915848135948181,-0.4339590072631836,-0.3137996792793274,1,0,0.5906431674957275,a53cc3ce3a4f72545746a960d85a88a4cb7c55c7,"{""box_angular_velocity"":[0.052813604,-0.61719048,0.097776957],""box_linear_velocity"":[0.099004641,0.001751654,-0.153116629],""box_mass"":1.125,""box_pose"":[0.551801264,2.9168e-05,0.133338079,-0.004432986,-0.004249552,0.764709413,0.64434588],""dof_position"":[-0.115173042,-0.065072939,-0.012358592,0.300250411,-0.195336118,-0.019023187,-0.082784377,0.029120825,0.001185866,0.296218812,-0.224485651,0.03952783,0.047393166,0.019156693,-0.040112525,-0.043044019,0.18166624,0.01203537,1.148338437,0.008116277,-0.077845,0.0535734,-0.03779199,-0.151439264,0.00798588,1.154733062,-0.111371197,0.014442713,-0.007521295],""dof_velocity"":[1.482986331,0.704375029,2.087523699,-2.442823648,1.301242709,0.711632967,1.513364434,-0.998464108,-1.990905046,-1.051187038,1.436469555,-2.257259369,-2.372486591,-0.354049146,0.600243926,2.464918852,-1.173290014,0.213889375,-1.471857548,-0.605653286,-0.288859844,1.063052773,-0.156218186,1.539268374,-0.361406863,1.440126061,-0.98511523,-1.490122795,-0.812418997],""goal"":[-3.450000048,0.0,0.144999996],""robot_root_angular_velocity"":[-0.641173482,0.957943201,1.16646862],""robot_root_linear_velocity"":[0.107856616,-0.061188579,0.207180321],""robot_root_pose"":[2.304545164,-0.000312981,0.805772603,0.016877364,0.006440008,0.99978596,-0.010084323]}",official carrybox.pt,True,1|smooth_hold|+box_x|0.1|0.5,1420,1,2,217.0,215.0,160,560,0.7173563032277261,1.1036250591278076,1.0,0.0,0.3915848135948181,0.20933085095270404,1.4301252365112305,2.4737894535064697,-1.330968145733433,17.593347549438477,0.1851756128985601,0.6086974143981934,3.6706310869992844,0.06082712590336991
official,T0002,legged_gym/resources/ckpt/carrybox.pt,1,smooth_hold,+box_x,0.1,1.0,0.1,0.15,0.15,1.125,1.103625,0.0,1,head_low,0,,,,0,0,4.00565767288208,8eaa02ad691fa7ba1759d8aad0dfec957888b0d7,"{""box_angular_velocity"":[-0.514533103,-0.088214532,0.006336175],""box_linear_velocity"":[0.082205363,-0.001952719,-0.16165711],""box_mass"":1.125,""box_pose"":[0.551490426,-3.0408e-05,0.133174583,-0.003792783,0.002809953,0.764303505,0.644839346],""dof_position"":[-0.115365975,-0.064493693,-0.012244629,0.300236672,-0.195333749,-0.019013571,-0.08334291,0.029650969,0.001274435,0.296205223,-0.224146992,0.039545443,0.047855414,0.019537466,-0.039965797,-0.042917531,0.181761712,0.012079612,1.148068905,0.007941407,-0.078025892,0.053601548,-0.037899453,-0.151337236,0.008065083,1.154471993,-0.111481667,0.014387042,-0.00755382],""dof_velocity"":[1.477406979,0.715834677,2.065957069,-2.441786766,1.304210067,0.716672838,1.498597622,-0.988804519,-2.012279987,-1.059867382,1.439237952,-2.252563477,-2.370433331,-0.344819427,0.619349778,2.460747004,-1.161747932,0.219978079,-1.464318633,-0.615747988,-0.310397536,1.063899279,-0.167820901,1.551432252,-0.360543162,1.435151935,-0.996951878,-1.500466704,-0.812795937],""goal"":[-3.450000048,0.0,0.144999996],""robot_root_angular_velocity"":[-0.625979483,0.956251979,1.147158504],""robot_root_linear_velocity"":[0.112184241,-0.060363512,0.208654389],""robot_root_pose"":[2.304617882,-0.00033184,0.805800736,0.016793169,0.006230244,0.999792099,-0.009736599]}",official carrybox.pt,False,1|smooth_hold|+box_x|0.1|1.0,816,0,358,,,0,0,0.0,,,,,,,,,,,,,
official,T0003,legged_gym/resources/ckpt/carrybox.pt,1,smooth_hold,+box_x,0.1,2.0,0.1,0.15,0.15,1.125,1.103625,0.0,1,box_tilt|timeout,0,,,,0,0,4.000012397766113,8686b8759e303de1b9dcd8c4226ee5761c093f21,"{""box_angular_velocity"":[0.052818909,-0.617193997,0.097779892],""box_linear_velocity"":[0.099004783,0.001751711,-0.153116554],""box_mass"":1.125,""box_pose"":[0.551801264,2.9169e-05,0.133338079,-0.004432955,-0.004249581,0.764709473,0.64434588],""dof_position"":[-0.115173273,-0.065072939,-0.012358559,0.300250351,-0.195336089,-0.019023187,-0.082784683,0.029120829,0.001185883,0.296218961,-0.224485591,0.03952783,0.047393195,0.019156681,-0.040112667,-0.043043997,0.18166624,0.012035387,1.148338437,0.008116276,-0.077845,0.0535734,-0.037792016,-0.151439279,0.007985869,1.154733062,-0.111371219,0.014442697,-0.007521289],""dof_velocity"":[1.482971191,0.704375625,2.087524414,-2.442824841,1.301244497,0.711632669,1.513340116,-0.998463988,-1.990904808,-1.051182866,1.436479807,-2.257259607,-2.372484446,-0.354048729,0.600233555,2.464917421,-1.173290372,0.213890702,-1.471856356,-0.605654061,-0.288861006,1.063053846,-0.156221375,1.539267898,-0.361408114,1.440126777,-0.985117376,-1.490123034,-0.812418342],""goal"":[-3.450000048,0.0,0.144999996],""robot_root_angular_velocity"":[-0.641172588,0.957930326,1.166464686],""robot_root_linear_velocity"":[0.107858129,-0.061188579,0.207180291],""robot_root_pose"":[2.304544687,-0.00031296,0.805772424,0.016877344,0.006440034,0.99978596,-0.010084333]}",official carrybox.pt,False,1|smooth_hold|+box_x|0.1|2.0,6004,0,563,,,0,0,0.0,,,,,,,,,,,,,
official,T0004,legged_gym/resources/ckpt/carrybox.pt,1,smooth_hold,+box_x,0.3,0.5,0.1,0.15,0.15,1.125,3.310875,0.0,1,timeout,0,,,,0,0,4.000012397766113,8686b8759e303de1b9dcd8c4226ee5761c093f21,"{""box_angular_velocity"":[0.052818909,-0.617193997,0.097779892],""box_linear_velocity"":[0.099004783,0.001751711,-0.153116554],""box_mass"":1.125,""box_pose"":[0.551801264,2.9169e-05,0.133338079,-0.004432955,-0.004249581,0.764709473,0.64434588],""dof_position"":[-0.115173273,-0.065072939,-0.012358559,0.300250351,-0.195336089,-0.019023187,-0.082784683,0.029120829,0.001185883,0.296218961,-0.224485591,0.03952783,0.047393195,0.019156681,-0.040112667,-0.043043997,0.18166624,0.012035387,1.148338437,0.008116276,-0.077845,0.0535734,-0.037792016,-0.151439279,0.007985869,1.154733062,-0.111371219,0.014442697,-0.007521289],""dof_velocity"":[1.482971191,0.704375625,2.087524414,-2.442824841,1.301244497,0.711632669,1.513340116,-0.998463988,-1.990904808,-1.051182866,1.436479807,-2.257259607,-2.372484446,-0.354048729,0.600233555,2.464917421,-1.173290372,0.213890702,-1.471856356,-0.605654061,-0.288861006,1.063053846,-0.156221375,1.539267898,-0.361408114,1.440126777,-0.985117376,-1.490123034,-0.812418342],""goal"":[-3.450000048,0.0,0.144999996],""robot_root_angular_velocity"":[-0.641172588,0.957930326,1.166464686],""robot_root_linear_velocity"":[0.107858129,-0.061188579,0.207180291],""robot_root_pose"":[2.304544687,-0.00031296,0.805772424,0.016877344,0.006440034,0.99978596,-0.010084333]}",official carrybox.pt,False,1|smooth_hold|+box_x|0.3|0.5,6004,0,2065,,,0,0,0.0,,,,,,,,,,,,,
official,T0005,legged_gym/resources/ckpt/carrybox.pt,1,smooth_hold,+box_x,0.3,1.0,0.1,0.15,0.15,1.125,3.310875,0.0,1,head_low,0,,,,0,0,4.000020503997803,8686b8759e303de1b9dcd8c4226ee5761c093f21,"{""box_angular_velocity"":[0.052818909,-0.617193997,0.097779892],""box_linear_velocity"":[0.099004783,0.001751711,-0.153116554],""box_mass"":1.125,""box_pose"":[0.551801264,2.9169e-05,0.133338079,-0.004432955,-0.004249581,0.764709473,0.64434588],""dof_position"":[-0.115173273,-0.065072939,-0.012358559,0.300250351,-0.195336089,-0.019023187,-0.082784683,0.029120829,0.001185883,0.296218961,-0.224485591,0.03952783,0.047393195,0.019156681,-0.040112667,-0.043043997,0.18166624,0.012035387,1.148338437,0.008116276,-0.077845,0.0535734,-0.037792016,-0.151439279,0.007985869,1.154733062,-0.111371219,0.014442697,-0.007521289],""dof_velocity"":[1.482971191,0.704375625,2.087524414,-2.442824841,1.301244497,0.711632669,1.513340116,-0.998463988,-1.990904808,-1.051182866,1.436479807,-2.257259607,-2.372484446,-0.354048729,0.600233555,2.464917421,-1.173290372,0.213890702,-1.471856356,-0.605654061,-0.288861006,1.063053846,-0.156221375,1.539267898,-0.361408114,1.440126777,-0.985117376,-1.490123034,-0.812418342],""goal"":[-3.450000048,0.0,0.144999996],""robot_root_angular_velocity"":[-0.641172588,0.957930326,1.166464686],""robot_root_linear_velocity"":[0.107858129,-0.061188579,0.207180291],""robot_root_pose"":[2.304544687,-0.00031296,0.805772424,0.016877344,0.006440034,0.99978596,-0.010084333]}",official carrybox.pt,False,1|smooth_hold|+box_x|0.3|1.0,940,0,3567,,,0,0,0.0,,,,,,,,,,,,,
official,T0006,legged_gym/resources/ckpt/carrybox.pt,1,smooth_hold,+box_x,0.3,2.0,0.1,0.15,0.15,1.125,3.310875,0.0,1,box_tilt|head_low,0,,,,0,0,4.000012397766113,8686b8759e303de1b9dcd8c4226ee5761c093f21,"{""box_angular_velocity"":[0.052818909,-0.617193997,0.097779892],""box_linear_velocity"":[0.099004783,0.001751711,-0.153116554],""box_mass"":1.125,""box_pose"":[0.551801264,2.9169e-05,0.133338079,-0.004432955,-0.004249581,0.764709473,0.64434588],""dof_position"":[-0.115173273,-0.065072939,-0.012358559,0.300250351,-0.195336089,-0.019023187,-0.082784683,0.029120829,0.001185883,0.296218961,-0.224485591,0.03952783,0.047393195,0.019156681,-0.040112667,-0.043043997,0.18166624,0.012035387,1.148338437,0.008116276,-0.077845,0.0535734,-0.037792016,-0.151439279,0.007985869,1.154733062,-0.111371219,0.014442697,-0.007521289],""dof_velocity"":[1.482971191,0.704375625,2.087524414,-2.442824841,1.301244497,0.711632669,1.513340116,-0.998463988,-1.990904808,-1.051182866,1.436479807,-2.257259607,-2.372484446,-0.354048729,0.600233555,2.464917421,-1.173290372,0.213890702,-1.471856356,-0.605654061,-0.288861006,1.063053846,-0.156221375,1.539267898,-0.361408114,1.440126777,-0.985117376,-1.490123034,-0.812418342],""goal"":[-3.450000048,0.0,0.144999996],""robot_root_angular_velocity"":[-0.641172588,0.957930326,1.166464686],""robot_root_linear_velocity"":[0.107858129,-0.061188579,0.207180291],""robot_root_pose"":[2.304544687,-0.00031296,0.805772424,0.016877344,0.006440034,0.99978596,-0.010084333]}",official carrybox.pt,False,1|smooth_hold|+box_x|0.3|2.0,2428,0,3803,,,0,0,0.0,,,,,,,,,,,,,
official,T0007,legged_gym/resources/ckpt/carrybox.pt,1,smooth_hold,+box_x,0.5,0.5,0.1,0.15,0.15,1.125,5.518125,0.0,1,head_low,0,,,,0,0,4.001140594482422,8686b8759e303de1b9dcd8c4226ee5761c093f21,"{""box_angular_velocity"":[0.052818909,-0.617193997,0.097779892],""box_linear_velocity"":[0.099004783,0.001751711,-0.153116554],""box_mass"":1.125,""box_pose"":[0.551801264,2.9169e-05,0.133338079,-0.004432955,-0.004249581,0.764709473,0.64434588],""dof_position"":[-0.115173273,-0.065072939,-0.012358559,0.300250351,-0.195336089,-0.019023187,-0.082784683,0.029120829,0.001185883,0.296218961,-0.224485591,0.03952783,0.047393195,0.019156681,-0.040112667,-0.043043997,0.18166624,0.012035387,1.148338437,0.008116276,-0.077845,0.0535734,-0.037792016,-0.151439279,0.007985869,1.154733062,-0.111371219,0.014442697,-0.007521289],""dof_velocity"":[1.482971191,0.704375625,2.087524414,-2.442824841,1.301244497,0.711632669,1.513340116,-0.998463988,-1.990904808,-1.051182866,1.436479807,-2.257259607,-2.372484446,-0.354048729,0.600233555,2.464917421,-1.173290372,0.213890702,-1.471856356,-0.605654061,-0.288861006,1.063053846,-0.156221375,1.539267898,-0.361408114,1.440126777,-0.985117376,-1.490123034,-0.812418342],""goal"":[-3.450000048,0.0,0.144999996],""robot_root_angular_velocity"":[-0.641172588,0.957930326,1.166464686],""robot_root_linear_velocity"":[0.107858129,-0.061188579,0.207180291],""robot_root_pose"":[2.304544687,-0.00031296,0.805772424,0.016877344,0.006440034,0.99978596,-0.010084333]}",official carrybox.pt,False,1|smooth_hold|+box_x|0.5|0.5,1560,0,4411,,,0,0,0.0,,,,,,,,,,,,,
official,T0008,legged_gym/resources/ckpt/carrybox.pt,1,smooth_hold,+box_x,0.5,1.0,0.1,0.15,0.15,1.125,5.518125057220459,6.345844344587279,0,,1,0.6527596712112427,1.595563888549805,1.587183117866516,0,0,0.1385978907346725,b37d1a34b504a21fd416095ed82af6e900cfd110,"{""box_angular_velocity"":[0.0,0.0,0.0],""box_linear_velocity"":[0.0,0.0,-0.196175486],""box_mass"":1.125,""box_pose"":[0.549999952,0.0,0.132547736,0.0,0.0,0.764192939,0.644987702],""dof_position"":[-0.115593508,-0.064746052,-0.012320553,0.300360948,-0.195070326,-0.019001871,-0.083475702,0.029394845,0.001167293,0.296318293,-0.223998114,0.039558936,0.048016004,0.019729495,-0.039579578,-0.042687569,0.180484638,0.011865744,1.147352099,0.008331287,-0.078113355,0.05443877,-0.03782244,-0.151108593,0.008053473,1.154164195,-0.111383066,0.014411789,-0.00821572],""dof_velocity"":[1.460155487,0.702920616,2.068506956,-2.447604179,1.321188092,0.714539647,1.485135555,-1.002265334,-2.011068106,-1.06355381,1.450716734,-2.256109238,-2.361958027,-0.34181416,0.623745561,2.463394165,-1.212964773,0.20323807,-1.455058575,-0.60581696,-0.349257767,1.082467079,-0.168251291,1.565045118,-0.356730878,1.445312738,-0.988606036,-1.515213132,-0.839687943],""goal"":[-3.450000048,0.0,0.144999996],""robot_root_angular_velocity"":[-0.634959042,0.955117822,1.158339977],""robot_root_linear_velocity"":[0.119195879,-0.061470948,0.209652379],""robot_root_pose"":[2.304764509,-0.000354351,0.805820525,0.016868409,0.006288042,0.999789476,-0.009845998]}",official carrybox.pt,True,1|smooth_hold|+box_x|0.5|1.0,1596,1,4802,5036.0,234.0,260,660,6.345844344587279,5.518125534057617,0.9924242424242424,1.0,0.6817084550857544,0.3096772522863114,2.18438720703125,4.01707935333252,10.035424106376189,97.92388916015624,0.24884884261744888,0.9994664788246156,11.8869240663607,0.1580615899166415
official,T0009,legged_gym/resources/ckpt/carrybox.pt,1,smooth_hold,+box_x,0.5,2.0,0.1,0.15,0.15,1.125,5.518125,0.0,1,head_low,0,,,,0,0,4.000012397766113,b37d1a34b504a21fd416095ed82af6e900cfd110,"{""box_angular_velocity"":[0.0,0.0,0.0],""box_linear_velocity"":[0.0,0.0,-0.196175486],""box_mass"":1.125,""box_pose"":[0.549999952,0.0,0.132547736,0.0,0.0,0.764192939,0.644987702],""dof_position"":[-0.115593508,-0.064746052,-0.012320553,0.300360948,-0.195070326,-0.019001871,-0.083475702,0.029394845,0.001167293,0.296318293,-0.223998114,0.039558936,0.048016004,0.019729495,-0.039579578,-0.042687569,0.180484638,0.011865744,1.147352099,0.008331287,-0.078113355,0.05443877,-0.03782244,-0.151108593,0.008053473,1.154164195,-0.111383066,0.014411789,-0.00821572],""dof_velocity"":[1.460155487,0.702920616,2.068506956,-2.447604179,1.321188092,0.714539647,1.485135555,-1.002265334,-2.011068106,-1.06355381,1.450716734,-2.256109238,-2.361958027,-0.34181416,0.623745561,2.463394165,-1.212964773,0.20323807,-1.455058575,-0.60581696,-0.349257767,1.082467079,-0.168251291,1.565045118,-0.356730878,1.445312738,-0.988606036,-1.515213132,-0.839687943],""goal"":[-3.450000048,0.0,0.144999996],""robot_root_angular_velocity"":[-0.634959042,0.955117822,1.158339977],""robot_root_linear_velocity"":[0.119195879,-0.061470948,0.209652379],""robot_root_pose"":[2.304764509,-0.000354351,0.805820525,0.016868409,0.006288042,0.999789476,-0.009845998]}",official carrybox.pt,False,1|smooth_hold|+box_x|0.5|2.0,1936,0,5202,,,0,0,0.0,,,,,,,,,,,,,
official,T0010,legged_gym/resources/ckpt/carrybox.pt,1,smooth_hold,+box_x,0.7,0.5,0.1,0.15,0.15,1.125,7.725375,0.0,1,timeout,0,,,,0,0,4.000012397766113,8686b8759e303de1b9dcd8c4226ee5761c093f21,"{""box_angular_velocity"":[0.052818909,-0.617193997,0.097779892],""box_linear_velocity"":[0.099004783,0.001751711,-0.153116554],""box_mass"":1.125,""box_pose"":[0.551801264,2.9169e-05,0.133338079,-0.004432955,-0.004249581,0.764709473,0.64434588],""dof_position"":[-0.115173273,-0.065072939,-0.012358559,0.300250351,-0.195336089,-0.019023187,-0.082784683,0.029120829,0.001185883,0.296218961,-0.224485591,0.03952783,0.047393195,0.019156681,-0.040112667,-0.043043997,0.18166624,0.012035387,1.148338437,0.008116276,-0.077845,0.0535734,-0.037792016,-0.151439279,0.007985869,1.154733062,-0.111371219,0.014442697,-0.007521289],""dof_velocity"":[1.482971191,0.704375625,2.087524414,-2.442824841,1.301244497,0.711632669,1.513340116,-0.998463988,-1.990904808,-1.051182866,1.436479807,-2.257259607,-2.372484446,-0.354048729,0.600233555,2.464917421,-1.173290372,0.213890702,-1.471856356,-0.605654061,-0.288861006,1.063053846,-0.156221375,1.539267898,-0.361408114,1.440126777,-0.985117376,-1.490123034,-0.812418342],""goal"":[-3.450000048,0.0,0.144999996],""robot_root_angular_velocity"":[-0.641172588,0.957930326,1.166464686],""robot_root_linear_velocity"":[0.107858129,-0.061188579,0.207180291],""robot_root_pose"":[2.304544687,-0.00031296,0.805772424,0.016877344,0.006440034,0.99978596,-0.010084333]}",official carrybox.pt,False,1|smooth_hold|+box_x|0.7|0.5,6004,0,5687,,,0,0,0.0,,,,,,,,,,,,,
