policy,beta,direction,drop_count,trials,drop_rate
Aug20 policy,0.0,+box_x,0,10,0.0
Aug20 policy,0.0,+box_y,2,10,0.2
Aug20 policy,0.0,-box_x,3,10,0.3
Aug20 policy,0.0,-box_y,1,10,0.1
Aug20 policy,0.1,+box_x,1,10,0.1
Aug20 policy,0.1,+box_y,2,10,0.2
Aug20 policy,0.1,-box_x,0,10,0.0
Aug20 policy,0.1,-box_y,3,10,0.3
Aug20 policy,0.3,+box_x,3,10,0.3
Aug20 policy,0.3,+box_y,3,10,0.3
Aug20 policy,0.3,-box_x,2,10,0.2
Aug20 policy,0.3,-box_y,2,10,0.2
Aug20 policy,0.5,+box_x,5,10,0.5
Aug20 policy,0.5,+box_y,1,10,0.1
Aug20 policy,0.5,-box_x,6,10,0.6
Aug20 policy,0.5,-box_y,1,10,0.1
Aug20 policy,0.7,+box_x,7,10,0.7
Aug20 policy,0.7,+box_y,4,10,0.4
Aug20 policy,0.7,-box_x,5,10,0.5
Aug20 policy,0.7,-box_y,5,10,0.5
Aug20 policy,0.9,+box_x,2,10,0.2
Aug20 policy,0.9,+box_y,4,10,0.4
Aug20 policy,0.9,-box_x,8,10,0.8
Aug20 policy,0.9,-box_y,4,10,0.4
Aug20 policy,1.1,+box_x,4,10,0.4
Aug20 policy,1.1,+box_y,5,10,0.5
Aug20 policy,1.1,-box_x,8,10,0.8
Aug20 policy,1.1,-box_y,6,10,0.6
Aug29 policy,0.0,+box_x,0,10,0.0
Aug29 policy,0.0,+box_y,1,10,0.1
Aug29 policy,0.0,-box_x,0,10,0.0
Aug29 policy,0.0,-box_y,0,10,0.0
Aug29 policy,0.1,+box_x,1,10,0.1
Aug29 policy,0.1,+box_y,0,10,0.0
Aug29 policy,0.1,-box_x,0,10,0.0
Aug29 policy,0.1,-box_y,0,10,0.0
Aug29 policy,0.3,+box_x,0,10,0.0
Aug29 policy,0.3,+box_y,0,10,0.0
Aug29 policy,0.3,-box_x,0,10,0.0
Aug29 policy,0.3,-box_y,0,10,0.0
Aug29 policy,0.5,+box_x,0,10,0.0
Aug29 policy,0.5,+box_y,1,10,0.1
Aug29 policy,0.5,-box_x,0,10,0.0
Aug29 policy,0.5,-box_y,0,10,0.0
Aug29 policy,0.7,+box_x,0,10,0.0
Aug29 policy,0.7,+box_y,0,10,0.0
Aug29 policy,0.7,-box_x,0,10,0.0
Aug29 policy,0.7,-box_y,0,10,0.0
Aug29 policy,0.9,+box_x,0,10,0.0
Aug29 policy,0.9,+box_y,1,10,0.1
Aug29 policy,0.9,-box_x,0,10,0.0
Aug29 policy,0.9,-box_y,2,10,0.2
Aug29 policy,1.1,+box_x,0,10,0.0
Aug29 policy,1.1,+box_y,0,10,0.0
Aug29 policy,1.1,-box_x,1,10,0.1
Aug29 policy,1.1,-box_y,1,10,0.1
