policy,trial_id,seed,direction,beta,box_failure_reason,peak_force_N,impulse_Ns
Aug20 policy,T0003,1,+box_x,0.3,dropped_to_ground,6.469334125518799,7.439744472503662
Aug20 policy,T0005,1,+box_x,0.7,dropped_to_ground,15.095111846923828,17.359397888183594
Aug20 policy,T0008,1,-box_x,0.0,dropped_to_ground,0.0,0.0
Aug20 policy,T0013,1,-box_x,0.9,dropped_to_ground,19.40800094604492,22.319231033325195
Aug20 policy,T0014,1,-box_x,1.1,dropped_to_ground,23.72089195251465,27.27906036376953
Aug20 policy,T0017,1,+box_y,0.3,dropped_to_ground,6.469334125518799,7.439744472503662
Aug20 policy,T0019,1,+box_y,0.7,dropped_to_ground,15.095111846923828,17.359397888183594
Aug20 policy,T0021,1,+box_y,1.1,dropped_to_ground,23.72089195251465,27.27906036376953
Aug20 policy,T0026,1,-box_y,0.7,dropped_to_ground,15.095111846923828,17.359397888183594
Aug20 policy,T0027,1,-box_y,0.9,dropped_to_ground,19.40800094604492,22.319231033325195
Aug20 policy,T0028,1,-box_y,1.1,box_unstable_speed,23.72089195251465,18.14650535583496
Aug20 policy,T0032,2,+box_x,0.5,dropped_to_ground,10.782222747802734,12.399572372436523
Aug20 policy,T0033,2,+box_x,0.7,dropped_to_ground,15.095111846923828,17.359397888183594
Aug20 policy,T0035,2,+box_x,1.1,box_unstable_speed,23.72089195251465,19.0953426361084
Aug20 policy,T0038,2,-box_x,0.3,dropped_to_ground,6.469334125518799,7.439744472503662
Aug20 policy,T0039,2,-box_x,0.5,dropped_to_ground,10.782222747802734,12.399572372436523
Aug20 policy,T0041,2,-box_x,0.9,dropped_to_ground,19.40800094604492,22.319231033325195
Aug20 policy,T0042,2,-box_x,1.1,dropped_to_ground,23.72089195251465,27.27906036376953
Aug20 policy,T0045,2,+box_y,0.3,dropped_to_ground,6.469334125518799,7.439744472503662
Aug20 policy,T0049,2,+box_y,1.1,dropped_to_ground,23.72089195251465,27.27906036376953
Aug20 policy,T0050,2,-box_y,0.0,dropped_to_ground,0.0,0.0
Aug20 policy,T0051,2,-box_y,0.1,dropped_to_ground,2.156444549560547,2.4799141883850098
Aug20 policy,T0054,2,-box_y,0.7,dropped_to_ground,15.095111846923828,17.359397888183594
Aug20 policy,T0055,2,-box_y,0.9,dropped_to_ground,19.40800094604492,22.319231033325195
Aug20 policy,T0056,2,-box_y,1.1,dropped_to_ground,23.72089195251465,27.27906036376953
Aug20 policy,T0059,3,+box_x,0.3,dropped_to_ground,6.469334125518799,7.439744472503662
Aug20 policy,T0060,3,+box_x,0.5,dropped_to_ground,10.782222747802734,12.399572372436523
Aug20 policy,T0061,3,+box_x,0.7,dropped_to_ground,15.095111846923828,17.359397888183594
Aug20 policy,T0062,3,+box_x,0.9,dropped_to_ground,19.40800094604492,22.319231033325195
Aug20 policy,T0063,3,+box_x,1.1,box_unstable_speed,23.72089195251465,20.993017196655277
Aug20 policy,T0064,3,-box_x,0.0,dropped_to_ground,0.0,0.0
Aug20 policy,T0066,3,-box_x,0.3,dropped_to_ground,6.469334125518799,7.439744472503662
Aug20 policy,T0067,3,-box_x,0.5,dropped_to_ground,10.782222747802734,12.399572372436523
Aug20 policy,T0068,3,-box_x,0.7,box_unstable_speed,15.095111846923828,11.245868682861328
Aug20 policy,T0069,3,-box_x,0.9,box_unstable_speed,19.40800094604492,10.189209938049316
Aug20 policy,T0070,3,-box_x,1.1,box_unstable_speed,23.72089195251465,13.402318954467772
Aug20 policy,T0072,3,+box_y,0.1,dropped_to_ground,2.156444549560547,2.4799141883850098
Aug20 policy,T0074,3,+box_y,0.5,dropped_to_ground,10.782222747802734,12.399572372436523
Aug20 policy,T0076,3,+box_y,0.9,dropped_to_ground,19.40800094604492,22.319231033325195
Aug20 policy,T0079,3,-box_y,0.1,dropped_to_ground,2.156444549560547,2.4799141883850098
Aug20 policy,T0080,3,-box_y,0.3,dropped_to_ground,6.469334125518799,7.439744472503662
Aug20 policy,T0084,3,-box_y,1.1,dropped_to_ground,23.72089195251465,27.27906036376953
Aug20 policy,T0086,4,+box_x,0.1,dropped_to_ground,2.156444549560547,2.4799141883850098
Aug20 policy,T0087,4,+box_x,0.3,dropped_to_ground,6.469334125518799,7.439744472503662
Aug20 policy,T0088,4,+box_x,0.5,dropped_to_ground,10.782222747802734,12.399572372436523
Aug20 policy,T0089,4,+box_x,0.7,dropped_to_ground,15.095111846923828,17.359397888183594
Aug20 policy,T0091,4,+box_x,1.1,box_unstable_speed,23.72089195251465,18.14650535583496
Aug20 policy,T0095,4,-box_x,0.5,dropped_to_ground,10.782222747802734,12.399572372436523
Aug20 policy,T0096,4,-box_x,0.7,dropped_to_ground,15.095111846923828,17.359397888183594
Aug20 policy,T0097,4,-box_x,0.9,box_unstable_speed,19.40800094604492,13.682656288146973
Aug20 policy,T0098,4,-box_x,1.1,box_unstable_speed,23.72089195251465,19.56976127624512
Aug20 policy,T0100,4,+box_y,0.1,dropped_to_ground,2.156444549560547,2.4799141883850098
Aug20 policy,T0103,4,+box_y,0.7,dropped_to_ground,15.095111846923828,17.359397888183594
Aug20 policy,T0110,4,-box_y,0.7,dropped_to_ground,15.095111846923828,17.359397888183594
Aug20 policy,T0111,4,-box_y,0.9,box_unstable_speed,19.40800094604492,14.847138404846191
Aug20 policy,T0117,5,+box_x,0.7,dropped_to_ground,15.095111846923828,17.359397888183594
Aug20 policy,T0123,5,-box_x,0.5,dropped_to_ground,10.782222747802734,12.399572372436523
Aug20 policy,T0125,5,-box_x,0.9,dropped_to_ground,19.40800094604492,22.319231033325195
Aug20 policy,T0126,5,-box_x,1.1,dropped_to_ground,23.72089195251465,27.27906036376953
Aug20 policy,T0131,5,+box_y,0.7,dropped_to_ground,15.095111846923828,17.359397888183594
Aug20 policy,T0132,5,+box_y,0.9,dropped_to_ground,19.40800094604492,22.319231033325195
Aug20 policy,T0152,6,-box_x,0.7,dropped_to_ground,15.095111846923828,17.359397888183594
Aug20 policy,T0154,6,-box_x,1.1,dropped_to_ground,23.72089195251465,27.27906036376953
Aug20 policy,T0172,7,+box_x,0.5,dropped_to_ground,10.782222747802734,12.399572372436523
Aug20 policy,T0173,7,+box_x,0.7,dropped_to_ground,15.095111846923828,17.359397888183594
Aug20 policy,T0176,7,-box_x,0.0,dropped_to_ground,0.0,0.0
Aug20 policy,T0179,7,-box_x,0.5,dropped_to_ground,10.782222747802734,12.399572372436523
Aug20 policy,T0180,7,-box_x,0.7,box_unstable_speed,15.095111846923828,9.73635482788086
Aug20 policy,T0181,7,-box_x,0.9,box_unstable_speed,19.40800094604492,11.74185276031494
Aug20 policy,T0183,7,+box_y,0.0,dropped_to_ground,0.0,0.0
Aug20 policy,T0185,7,+box_y,0.3,dropped_to_ground,6.469334125518799,7.439744472503662
Aug20 policy,T0187,7,+box_y,0.7,dropped_to_ground,15.095111846923828,17.359397888183594
Aug20 policy,T0188,7,+box_y,0.9,dropped_to_ground,19.40800094604492,22.319231033325195
Aug20 policy,T0189,7,+box_y,1.1,dropped_to_ground,23.72089195251465,27.27906036376953
Aug20 policy,T0191,7,-box_y,0.1,dropped_to_ground,2.156444549560547,2.4799141883850098
Aug20 policy,T0194,7,-box_y,0.7,box_unstable_speed,15.095111846923828,10.943965911865234
Aug20 policy,T0196,7,-box_y,1.1,dropped_to_ground,23.72089195251465,27.27906036376953
Aug20 policy,T0207,8,-box_x,0.5,dropped_to_ground,10.782222747802734,12.399572372436523
Aug20 policy,T0208,8,-box_x,0.7,dropped_to_ground,15.095111846923828,17.359397888183594
Aug20 policy,T0209,8,-box_x,0.9,box_unstable_speed,19.40800094604492,19.116905212402344
Aug20 policy,T0210,8,-box_x,1.1,box_unstable_speed,23.72089195251465,9.606969833374023
Aug20 policy,T0211,8,+box_y,0.0,dropped_to_ground,0.0,0.0
Aug20 policy,T0217,8,+box_y,1.1,dropped_to_ground,23.72089195251465,27.27906036376953
Aug20 policy,T0220,8,-box_y,0.3,dropped_to_ground,6.469334125518799,7.439744472503662
Aug20 policy,T0221,8,-box_y,0.5,dropped_to_ground,10.782222747802734,12.399572372436523
Aug20 policy,T0224,8,-box_y,1.1,dropped_to_ground,23.72089195251465,27.27906036376953
Aug20 policy,T0228,9,+box_x,0.5,dropped_to_ground,10.782222747802734,12.399572372436523
Aug20 policy,T0229,9,+box_x,0.7,dropped_to_ground,15.095111846923828,17.359397888183594
Aug20 policy,T0230,9,+box_x,0.9,box_unstable_speed,19.40800094604492,14.458977699279783
Aug20 policy,T0231,9,+box_x,1.1,box_unstable_speed,23.72089195251465,15.774412155151367
Aug20 policy,T0237,9,-box_x,0.9,dropped_to_ground,19.40800094604492,22.319231033325195
Aug20 policy,T0238,9,-box_x,1.1,box_unstable_speed,23.72089195251465,17.197668075561523
Aug20 policy,T0244,9,+box_y,0.9,dropped_to_ground,19.40800094604492,22.319231033325195
Aug20 policy,T0245,9,+box_y,1.1,dropped_to_ground,23.72089195251465,27.27906036376953
Aug20 policy,T0251,9,-box_y,0.9,dropped_to_ground,19.40800094604492,22.319231033325195
