trial_id,mode,axis,command,actual_mean,signed_error_actual_minus_cmd,abs_error,completed,termination_reason
T0001,stand,vx,0.000000,0.022042,0.022042,0.022042,1,completed
T0001,stand,vy,0.000000,0.016414,0.016414,0.016414,1,completed
T0001,stand,yaw,0.000000,-0.004694,-0.004694,0.004694,1,completed
T0002,vx,vx,-0.500000,-0.390154,0.109846,0.109846,1,completed
T0003,vx,vx,-0.250000,-0.150474,0.099526,0.099526,1,completed
T0004,vx,vx,0.100000,0.055995,-0.044005,0.044005,1,completed
T0005,vx,vx,0.400000,0.421333,0.021333,0.021333,1,completed
T0006,vx,vx,0.900000,0.453125,-0.446875,0.446875,0,excessive_box_tilt
T0007,vx,vx,1.200000,1.098442,-0.101558,0.101558,1,completed
T0008,vy,vy,-0.400000,-0.342727,0.057273,0.057273,1,completed
T0009,vy,vy,-0.200000,-0.098753,0.101247,0.101247,1,completed
T0010,vy,vy,-0.100000,-0.050748,0.049252,0.049252,1,completed
T0011,vy,vy,0.100000,0.040146,-0.059854,0.059854,1,completed
T0012,vy,vy,0.200000,0.107137,-0.092863,0.092863,1,completed
T0013,vy,vy,0.400000,0.321231,-0.078769,0.078769,1,completed
T0014,yaw,yaw,-0.500000,-0.549312,-0.049312,0.049312,1,completed
T0015,yaw,yaw,-0.250000,-0.183658,0.066342,0.066342,1,completed
T0016,yaw,yaw,-0.100000,-0.336627,-0.236627,0.236627,0,excessive_box_tilt
T0017,yaw,yaw,0.100000,0.074139,-0.025861,0.025861,1,completed
T0018,yaw,yaw,0.250000,0.128075,-0.121925,0.121925,1,completed
T0019,yaw,yaw,0.500000,0.465447,-0.034553,0.034553,1,completed
T0020,mixed,vx,-0.400000,-0.134810,0.265190,0.265190,0,excessive_box_tilt
T0020,mixed,vy,-0.320000,-0.192854,0.127146,0.127146,0,excessive_box_tilt
T0020,mixed,yaw,-0.400000,-0.386181,0.013819,0.013819,0,excessive_box_tilt
T0021,mixed,vx,-0.400000,-0.332226,0.067774,0.067774,1,completed
T0021,mixed,vy,-0.320000,-0.245354,0.074646,0.074646,1,completed
T0021,mixed,yaw,0.400000,0.329539,-0.070461,0.070461,1,completed
T0022,mixed,vx,-0.400000,-0.372215,0.027785,0.027785,1,completed
T0022,mixed,vy,0.320000,0.358668,0.038668,0.038668,1,completed
T0022,mixed,yaw,-0.400000,-0.415438,-0.015438,0.015438,1,completed
T0023,mixed,vx,-0.400000,-0.244314,0.155686,0.155686,1,completed
T0023,mixed,vy,0.320000,0.378035,0.058035,0.058035,1,completed
T0023,mixed,yaw,0.400000,0.289376,-0.110624,0.110624,1,completed
T0024,mixed,vx,0.960000,0.440860,-0.519140,0.519140,0,excessive_box_tilt
T0024,mixed,vy,-0.320000,-0.192259,0.127741,0.127741,0,excessive_box_tilt
T0024,mixed,yaw,-0.400000,-1.371416,-0.971416,0.971416,0,excessive_box_tilt
T0025,mixed,vx,0.960000,0.360071,-0.599929,0.599929,0,excessive_box_tilt
T0025,mixed,vy,-0.320000,-0.055743,0.264257,0.264257,0,excessive_box_tilt
T0025,mixed,yaw,0.400000,-0.715233,-1.115233,1.115233,0,excessive_box_tilt
T0026,mixed,vx,0.960000,0.824888,-0.135112,0.135112,1,completed
